car,time [us],time [s],NIS
1, 6066666, 6.06667, 2.10316
1, 6100000, 6.1, 5.20297
1, 6133333, 6.13333, 2.94117
1, 6166666, 6.16667, 1.0002
1, 6200000, 6.2, 1.44652
1, 6233333, 6.23333, 7.22813
1, 6266666, 6.26667, 2.58169
1, 6300000, 6.3, 2.52505
1, 6333333, 6.33333, 6.43865
1, 6366666, 6.36667, 4.25157
1, 6400000, 6.4, 10.6498
1, 6433333, 6.43333, 4.26927
1, 6466666, 6.46667, 0.228308
1, 6500000, 6.5, 6.84817
1, 6533333, 6.53333, 1.27791
1, 6566666, 6.56667, 6.90555
1, 6600000, 6.6, 3.99132
1, 6633333, 6.63333, 0.552478
1, 6666666, 6.66667, 5.14543
1, 6700000, 6.7, 0.407102
1, 6733333, 6.73333, 11.3314
1, 6766666, 6.76667, 1.65373
1, 6800000, 6.8, 4.29923
1, 6833333, 6.83333, 3.82692
1, 6866666, 6.86667, 2.07866
1, 6900000, 6.9, 1.03752
1, 6933333, 6.93333, 3.77514
1, 6966666, 6.96667, 0.72753
1, 7000000, 7, 7.6935
1, 7033333, 7.03333, 1.72838
1, 7066666, 7.06667, 0.699254
1, 7100000, 7.1, 1.76244
1, 7133333, 7.13333, 3.36212
1, 7166666, 7.16667, 2.82569
1, 7200000, 7.2, 4.21842
1, 7233333, 7.23333, 0.926219
1, 7266666, 7.26667, 0.445956
1, 7300000, 7.3, 1.99507
1, 7333333, 7.33333, 0.591995
1, 7366666, 7.36667, 1.55368
1, 7400000, 7.4, 0.973344
1, 7433333, 7.43333, 1.06198
1, 7466666, 7.46667, 1.17571
1, 7500000, 7.5, 1.587
1, 7533333, 7.53333, 5.12622
1, 7566666, 7.56667, 1.05469
1, 7600000, 7.6, 5.21681
1, 7633333, 7.63333, 5.08829
1, 7666666, 7.66667, 2.84306
1, 7700000, 7.7, 3.15686
1, 7733333, 7.73333, 1.1313
1, 7766666, 7.76667, 2.50123
1, 7800000, 7.8, 1.02226
1, 7833333, 7.83333, 3.10624
1, 7866666, 7.86667, 3.91607
1, 7900000, 7.9, 0.678815
1, 7933333, 7.93333, 3.16255
1, 7966666, 7.96667, 3.4587
1, 8000000, 8, 8.44979
1, 8033333, 8.03333, 2.1637
1, 8066666, 8.06667, 1.86759
1, 8100000, 8.1, 6.29257
1, 8133333, 8.13333, 1.53727
1, 8166666, 8.16667, 6.98651
1, 8200000, 8.2, 1.86666
1, 8233333, 8.23333, 8.46693
1, 8266666, 8.26667, 1.68151
1, 8300000, 8.3, 6.78757
1, 8333333, 8.33333, 0.769599
1, 8366666, 8.36667, 0.163113
1, 8400000, 8.4, 0.958124
1, 8433333, 8.43333, 7.88606
1, 8466666, 8.46667, 3.39314
1, 8500000, 8.5, 0.145913
1, 8533333, 8.53333, 1.22521
1, 8566666, 8.56667, 5.22247
1, 8600000, 8.6, 1.6002
1, 8633333, 8.63333, 1.40159
1, 8666666, 8.66667, 3.12028
1, 8700000, 8.7, 0.124624
1, 8733333, 8.73333, 4.08991
1, 8766666, 8.76667, 0.0881922
1, 8800000, 8.8, 0.708449
1, 8833333, 8.83333, 2.62986
1, 8866666, 8.86667, 1.31412
1, 8900000, 8.9, 3.2881
1, 8933333, 8.93333, 1.69789
1, 8966666, 8.96667, 2.18779
1, 9000000, 9, 1.80049
1, 9033333, 9.03333, 7.31463
1, 9066666, 9.06667, 0.838883
1, 9100000, 9.1, 1.94653
1, 9133333, 9.13333, 1.29254
1, 9166666, 9.16667, 0.821626
1, 9200000, 9.2, 1.75864
1, 9233333, 9.23333, 2.90706
1, 9266666, 9.26667, 1.39582
1, 9300000, 9.3, 4.1235
1, 9333333, 9.33333, 4.214
1, 9366666, 9.36667, 0.0775422
1, 9400000, 9.4, 1.10576
1, 9433333, 9.43333, 2.00161
1, 9466666, 9.46667, 2.85934
1, 9500000, 9.5, 0.81268
1, 9533333, 9.53333, 2.47838
1, 9566666, 9.56667, 1.10305
1, 9600000, 9.6, 3.91546
1, 9633333, 9.63333, 0.373117
1, 9666666, 9.66667, 3.56901
1, 9700000, 9.7, 2.28055
1, 9733333, 9.73333, 1.68242
1, 9766666, 9.76667, 2.26707
1, 9800000, 9.8, 0.334321
1, 9833333, 9.83333, 1.33555
1, 9866666, 9.86667, 0.481022
1, 9900000, 9.9, 1.08023
1, 9933333, 9.93333, 8.57372
1, 9966666, 9.96667, 2.66908
2, 0, 0, 1.76707
2, 33333, 0.033333, 1.33527
2, 66666, 0.066666, 1.8756
2, 100000, 0.1, 2.12733
2, 133333, 0.133333, 0.836063
2, 166666, 0.166666, 3.56501
2, 200000, 0.2, 2.17271
2, 233333, 0.233333, 1.17593
2, 266666, 0.266666, 5.64109
2, 300000, 0.3, 1.41266
2, 333333, 0.333333, 4.77239
2, 366666, 0.366666, 2.96036
2, 400000, 0.4, 1.26702
2, 433333, 0.433333, 1.76693
2, 466666, 0.466666, 4.49309
2, 500000, 0.5, 2.67746
2, 533333, 0.533333, 1.42953
2, 566666, 0.566666, 1.66453
2, 600000, 0.6, 3.61771
2, 633333, 0.633333, 1.72798
2, 666666, 0.666666, 6.27993
2, 700000, 0.7, 1.26045
2, 733333, 0.733333, 2.64181
2, 766666, 0.766666, 1.21317
2, 800000, 0.8, 1.25537
2, 833333, 0.833333, 2.88784
2, 866666, 0.866666, 1.74391
2, 900000, 0.9, 2.58719
2, 933333, 0.933333, 4.66889
2, 966666, 0.966666, 2.89988
2, 1000000, 1, 2.7092
2, 1033333, 1.03333, 0.145776
2, 1066666, 1.06667, 0.976903
2, 1100000, 1.1, 3.32757
2, 1133333, 1.13333, 0.404398
2, 1166666, 1.16667, 1.4644
2, 1200000, 1.2, 4.89988
2, 1233333, 1.23333, 5.7615
2, 1266666, 1.26667, 6.63368
2, 1300000, 1.3, 7.36252
2, 1333333, 1.33333, 6.33272
2, 1366666, 1.36667, 1.19777
2, 1400000, 1.4, 1.3812
2, 1433333, 1.43333, 3.19978
2, 1466666, 1.46667, 1.0426
2, 1500000, 1.5, 7.39537
2, 1533333, 1.53333, 6.42363
2, 1566666, 1.56667, 2.63253
2, 1600000, 1.6, 4.08461
2, 1633333, 1.63333, 1.87793
2, 1666666, 1.66667, 3.28747
2, 1700000, 1.7, 2.12843
2, 1733333, 1.73333, 2.48578
2, 1766666, 1.76667, 0.27655
